score_id,response_id,survey_id,geo_id,dimension_id,submission_date,response_value,normalised_score,weight_applied,is_validated
SC0000001,R000001,S0001,G0003,D001,2024-01-21,4,75.0,1.0,True
SC0000002,R000001,S0001,G0003,D002,2024-01-21,3,50.0,1.0,True
SC0000003,R000001,S0001,G0003,D003,2024-01-21,4,75.0,1.0,True
SC0000004,R000001,S0001,G0003,D004,2024-01-21,5,100.0,1.0,True
SC0000005,R000001,S0001,G0003,D005,2024-01-21,3,50.0,1.0,True
SC0000006,R000001,S0001,G0003,D006,2024-01-21,3,50.0,1.0,True
SC0000007,R000001,S0001,G0003,D007,2024-01-21,5,100.0,1.0,True
SC0000008,R000001,S0001,G0003,D008,2024-01-21,4,75.0,1.0,True
SC0000009,R000001,S0001,G0003,D009,2024-01-21,3,50.0,1.0,True
SC0000010,R000001,S0001,G0003,D010,2024-01-21,4,75.0,1.0,True
SC0000011,R000001,S0001,G0003,D011,2024-01-21,3,50.0,1.0,True
SC0000012,R000001,S0001,G0003,D012,2024-01-21,3,50.0,1.0,True
SC0000013,R000002,S0001,G0004,D001,2024-01-21,4,75.0,1.0,True
SC0000014,R000002,S0001,G0004,D002,2024-01-21,2,25.0,1.0,True
SC0000015,R000002,S0001,G0004,D003,2024-01-21,2,25.0,1.0,True
SC0000016,R000002,S0001,G0004,D004,2024-01-21,3,50.0,1.0,True
SC0000017,R000002,S0001,G0004,D005,2024-01-21,3,50.0,1.0,True
SC0000018,R000002,S0001,G0004,D006,2024-01-21,4,75.0,1.0,True
SC0000019,R000002,S0001,G0004,D007,2024-01-21,3,50.0,1.0,True
SC0000020,R000002,S0001,G0004,D008,2024-01-21,2,25.0,1.0,True
SC0000021,R000002,S0001,G0004,D009,2024-01-21,5,100.0,1.0,True
SC0000022,R000002,S0001,G0004,D010,2024-01-21,3,50.0,1.0,True
SC0000023,R000002,S0001,G0004,D011,2024-01-21,4,75.0,1.0,True
SC0000024,R000002,S0001,G0004,D012,2024-01-21,2,25.0,1.0,True
SC0000025,R000003,S0001,G0003,D001,2024-01-21,3,50.0,1.0,True
SC0000026,R000003,S0001,G0003,D002,2024-01-21,4,75.0,1.0,True
SC0000027,R000003,S0001,G0003,D003,2024-01-21,3,50.0,1.0,True
SC0000028,R000003,S0001,G0003,D004,2024-01-21,4,75.0,1.0,True
SC0000029,R000003,S0001,G0003,D005,2024-01-21,3,50.0,1.0,True
SC0000030,R000003,S0001,G0003,D006,2024-01-21,3,50.0,1.0,True
SC0000031,R000003,S0001,G0003,D007,2024-01-21,3,50.0,1.0,True
SC0000032,R000003,S0001,G0003,D008,2024-01-21,5,100.0,1.0,True
SC0000033,R000003,S0001,G0003,D009,2024-01-21,3,50.0,1.0,True
SC0000034,R000003,S0001,G0003,D010,2024-01-21,3,50.0,1.0,True
SC0000035,R000003,S0001,G0003,D011,2024-01-21,4,75.0,1.0,True
SC0000036,R000003,S0001,G0003,D012,2024-01-21,3,50.0,1.0,True
SC0000037,R000004,S0001,G0002,D001,2024-01-21,4,75.0,1.0,True
SC0000038,R000004,S0001,G0002,D002,2024-01-21,2,25.0,1.0,True
SC0000039,R000004,S0001,G0002,D003,2024-01-21,2,25.0,1.0,True
SC0000040,R000004,S0001,G0002,D004,2024-01-21,4,75.0,1.0,True
SC0000041,R000004,S0001,G0002,D005,2024-01-21,4,75.0,1.0,True
SC0000042,R000004,S0001,G0002,D006,2024-01-21,4,75.0,1.0,True
SC0000043,R000004,S0001,G0002,D007,2024-01-21,3,50.0,1.0,True
SC0000044,R000004,S0001,G0002,D008,2024-01-21,3,50.0,1.0,True
SC0000045,R000004,S0001,G0002,D009,2024-01-21,2,25.0,1.0,True
SC0000046,R000004,S0001,G0002,D010,2024-01-21,3,50.0,1.0,True
SC0000047,R000004,S0001,G0002,D011,2024-01-21,3,50.0,1.0,True
SC0000048,R000004,S0001,G0002,D012,2024-01-21,4,75.0,1.0,True
SC0000049,R000005,S0001,G0001,D001,2024-01-21,4,75.0,1.0,True
SC0000050,R000005,S0001,G0001,D002,2024-01-21,2,25.0,1.0,True
SC0000051,R000005,S0001,G0001,D003,2024-01-21,4,75.0,1.0,True
SC0000052,R000005,S0001,G0001,D004,2024-01-21,3,50.0,1.0,True
SC0000053,R000005,S0001,G0001,D005,2024-01-21,3,50.0,1.0,True
SC0000054,R000005,S0001,G0001,D006,2024-01-21,4,75.0,1.0,True
SC0000055,R000005,S0001,G0001,D007,2024-01-21,4,75.0,1.0,True
SC0000056,R000005,S0001,G0001,D008,2024-01-21,4,75.0,1.0,True
SC0000057,R000005,S0001,G0001,D009,2024-01-21,3,50.0,1.0,True
SC0000058,R000005,S0001,G0001,D010,2024-01-21,3,50.0,1.0,True
SC0000059,R000005,S0001,G0001,D011,2024-01-21,4,75.0,1.0,True
SC0000060,R000005,S0001,G0001,D012,2024-01-21,4,75.0,1.0,True
SC0000061,R000006,S0001,G0001,D001,2024-01-21,3,50.0,1.0,True
SC0000062,R000006,S0001,G0001,D002,2024-01-21,3,50.0,1.0,True
SC0000063,R000006,S0001,G0001,D003,2024-01-21,3,50.0,1.0,True
SC0000064,R000006,S0001,G0001,D004,2024-01-21,3,50.0,1.0,True
SC0000065,R000006,S0001,G0001,D005,2024-01-21,4,75.0,1.0,True
SC0000066,R000006,S0001,G0001,D006,2024-01-21,5,100.0,1.0,True
SC0000067,R000006,S0001,G0001,D007,2024-01-21,3,50.0,1.0,True
SC0000068,R000006,S0001,G0001,D008,2024-01-21,4,75.0,1.0,True
SC0000069,R000006,S0001,G0001,D009,2024-01-21,4,75.0,1.0,True
SC0000070,R000006,S0001,G0001,D010,2024-01-21,3,50.0,1.0,True
SC0000071,R000006,S0001,G0001,D011,2024-01-21,4,75.0,1.0,True
SC0000072,R000006,S0001,G0001,D012,2024-01-21,5,100.0,1.0,True
SC0000073,R000007,S0001,G0003,D001,2024-01-21,3,50.0,1.0,True
SC0000074,R000007,S0001,G0003,D002,2024-01-21,5,100.0,1.0,True
SC0000075,R000007,S0001,G0003,D003,2024-01-21,1,0.0,1.0,True
SC0000076,R000007,S0001,G0003,D004,2024-01-21,4,75.0,1.0,True
SC0000077,R000007,S0001,G0003,D005,2024-01-21,4,75.0,1.0,True
SC0000078,R000007,S0001,G0003,D006,2024-01-21,3,50.0,1.0,True
SC0000079,R000007,S0001,G0003,D007,2024-01-21,4,75.0,1.0,True
SC0000080,R000007,S0001,G0003,D008,2024-01-21,2,25.0,1.0,True
SC0000081,R000007,S0001,G0003,D009,2024-01-21,3,50.0,1.0,True
SC0000082,R000007,S0001,G0003,D010,2024-01-21,4,75.0,1.0,True
SC0000083,R000007,S0001,G0003,D011,2024-01-21,5,100.0,1.0,True
SC0000084,R000007,S0001,G0003,D012,2024-01-21,3,50.0,1.0,True
SC0000085,R000008,S0001,G0001,D001,2024-01-21,3,50.0,1.0,True
SC0000086,R000008,S0001,G0001,D002,2024-01-21,3,50.0,1.0,True
SC0000087,R000008,S0001,G0001,D003,2024-01-21,4,75.0,1.0,True
SC0000088,R000008,S0001,G0001,D004,2024-01-21,4,75.0,1.0,True
SC0000089,R000008,S0001,G0001,D005,2024-01-21,3,50.0,1.0,True
SC0000090,R000008,S0001,G0001,D006,2024-01-21,4,75.0,1.0,True
SC0000091,R000008,S0001,G0001,D007,2024-01-21,4,75.0,1.0,True
SC0000092,R000008,S0001,G0001,D008,2024-01-21,4,75.0,1.0,True
SC0000093,R000008,S0001,G0001,D009,2024-01-21,3,50.0,1.0,True
SC0000094,R000008,S0001,G0001,D010,2024-01-21,3,50.0,1.0,True
SC0000095,R000008,S0001,G0001,D011,2024-01-21,3,50.0,1.0,True
SC0000096,R000008,S0001,G0001,D012,2024-01-21,2,25.0,1.0,True
SC0000097,R000009,S0001,G0002,D001,2024-01-21,4,75.0,1.0,True
SC0000098,R000009,S0001,G0002,D002,2024-01-21,4,75.0,1.0,True
SC0000099,R000009,S0001,G0002,D003,2024-01-21,4,75.0,1.0,True
SC0000100,R000009,S0001,G0002,D004,2024-01-21,3,50.0,1.0,True
SC0000101,R000009,S0001,G0002,D005,2024-01-21,2,25.0,1.0,True
SC0000102,R000009,S0001,G0002,D006,2024-01-21,3,50.0,1.0,True
SC0000103,R000009,S0001,G0002,D007,2024-01-21,3,50.0,1.0,True
SC0000104,R000009,S0001,G0002,D008,2024-01-21,3,50.0,1.0,True
SC0000105,R000009,S0001,G0002,D009,2024-01-21,3,50.0,1.0,True
SC0000106,R000009,S0001,G0002,D010,2024-01-21,4,75.0,1.0,True
SC0000107,R000009,S0001,G0002,D011,2024-01-21,5,100.0,1.0,True
SC0000108,R000009,S0001,G0002,D012,2024-01-21,4,75.0,1.0,True
SC0000109,R000010,S0001,G0002,D001,2024-01-21,4,75.0,1.0,True
SC0000110,R000010,S0001,G0002,D002,2024-01-21,3,50.0,1.0,True
SC0000111,R000010,S0001,G0002,D003,2024-01-21,2,25.0,1.0,True
SC0000112,R000010,S0001,G0002,D004,2024-01-21,3,50.0,1.0,True
SC0000113,R000010,S0001,G0002,D005,2024-01-21,4,75.0,1.0,True
SC0000114,R000010,S0001,G0002,D006,2024-01-21,5,100.0,1.0,True
SC0000115,R000010,S0001,G0002,D007,2024-01-21,3,50.0,1.0,True
SC0000116,R000010,S0001,G0002,D008,2024-01-21,4,75.0,1.0,True
SC0000117,R000010,S0001,G0002,D009,2024-01-21,3,50.0,1.0,True
SC0000118,R000010,S0001,G0002,D010,2024-01-21,3,50.0,1.0,True
SC0000119,R000010,S0001,G0002,D011,2024-01-21,4,75.0,1.0,True
SC0000120,R000010,S0001,G0002,D012,2024-01-21,4,75.0,1.0,True
SC0000121,R000011,S0001,G0004,D001,2024-01-21,4,75.0,1.0,True
SC0000122,R000011,S0001,G0004,D002,2024-01-21,3,50.0,1.0,True
SC0000123,R000011,S0001,G0004,D003,2024-01-21,5,100.0,1.0,True
SC0000124,R000011,S0001,G0004,D004,2024-01-21,2,25.0,1.0,True
