qualitative_id,response_id,survey_id,geo_id,submission_date,free_text_response,language,sentiment_score,sentiment_label,theme_code,theme_label,nlp_confidence_score,human_validated,rumour_flag,ingested_at
Q000001,R000003,S0001,G0003,2024-01-21,The response was okay but could have been faster,English,0.047,neutral,STAFF_BEHAVIOUR,Staff behaviour,0.957,True,False,2026-05-09 17:29:06
Q000002,R000004,S0001,G0002,2024-01-21,The response was okay but could have been faster,English,-0.074,neutral,RUMOUR/MISINFORMATION,Rumour/misinformation,0.957,True,False,2026-05-09 17:29:06
Q000003,R000005,S0001,G0001,2024-01-21,The Red Cross team was very helpful and respectful to our community,English,0.968,positive,COMMUNICATION_QUALITY,Communication quality,0.983,True,False,2026-05-09 17:29:06
Q000004,R000006,S0001,G0001,2024-01-21,The Red Cross team was very helpful and respectful to our community,English,0.719,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.755,False,False,2026-05-09 17:29:06
Q000005,R000011,S0001,G0004,2024-01-21,We heard the aid was being sold rather than distributed,English,-0.529,negative,RESPONSE_SPEED,Response speed,0.767,True,True,2026-05-09 17:29:06
Q000006,R000014,S0001,G0002,2024-01-21,We felt our community was not prioritised compared to others,English,-0.671,negative,RESPONSE_SPEED,Response speed,0.912,True,False,2026-05-09 17:29:06
Q000007,R000015,S0001,G0001,2024-01-21,They kept us informed throughout the process,English,0.398,positive,AID_DISTRIBUTION,Aid distribution,0.817,True,False,2026-05-09 17:29:06
Q000008,R000018,S0001,G0002,2024-01-21,They kept us informed throughout the process,English,0.5,positive,RESOURCE_ALLOCATION,Resource allocation,0.909,False,False,2026-05-09 17:29:06
Q000009,R000021,S0001,G0002,2024-01-21,They listened to our needs and responded accordingly,English,0.583,positive,RESOURCE_ALLOCATION,Resource allocation,0.809,True,False,2026-05-09 17:29:06
Q000010,R000022,S0001,G0001,2024-01-21,The team visited but we are not sure what happens next,English,-0.067,neutral,COMMUNICATION_QUALITY,Communication quality,0.911,False,False,2026-05-09 17:29:06
Q000011,R000024,S0001,G0001,2024-01-21,We received some help but not everything we needed,English,0.24,neutral,RESPONSE_SPEED,Response speed,0.818,False,False,2026-05-09 17:29:06
Q000012,R000026,S0001,G0002,2024-01-21,They listened to our needs and responded accordingly,English,0.802,positive,AID_DISTRIBUTION,Aid distribution,0.915,False,False,2026-05-09 17:29:06
Q000013,R000028,S0001,G0001,2024-01-21,We felt our community was not prioritised compared to others,English,-0.551,negative,RESPONSE_SPEED,Response speed,0.768,True,False,2026-05-09 17:29:06
Q000014,R000029,S0001,G0001,2024-01-21,The Red Cross team was very helpful and respectful to our community,English,0.929,positive,AID_DISTRIBUTION,Aid distribution,0.914,True,False,2026-05-09 17:29:06
Q000015,R000032,S0001,G0004,2024-01-21,They kept us informed throughout the process,English,0.456,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.834,True,False,2026-05-09 17:29:06
Q000016,R000033,S0001,G0002,2024-01-21,Some people got assistance but others did not,English,-0.024,neutral,RUMOUR/MISINFORMATION,Rumour/misinformation,0.846,False,False,2026-05-09 17:29:06
Q000017,R000039,S0001,G0001,2024-01-21,The response came too late after the emergency,English,-0.847,negative,RUMOUR/MISINFORMATION,Rumour/misinformation,0.913,True,False,2026-05-09 17:29:06
Q000018,R000040,S0001,G0003,2024-01-21,There were rumours that staff were taking goods for themselves,English,-0.628,negative,RUMOUR/MISINFORMATION,Rumour/misinformation,0.912,False,True,2026-05-09 17:29:06
Q000019,R000042,S0001,G0002,2024-01-21,They kept us informed throughout the process,English,0.728,positive,STAFF_BEHAVIOUR,Staff behaviour,0.859,True,False,2026-05-09 17:29:06
Q000020,R000053,S0001,G0001,2024-01-21,We trust them to help us in times of crisis,English,0.677,positive,RESOURCE_ALLOCATION,Resource allocation,0.942,True,False,2026-05-09 17:29:06
Q000021,R000054,S0001,G0004,2024-01-21,We trust them to help us in times of crisis,English,0.807,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.971,True,False,2026-05-09 17:29:06
Q000022,R000056,S0001,G0002,2024-01-21,We trust them to help us in times of crisis,English,0.495,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.811,True,False,2026-05-09 17:29:06
Q000023,R000057,S0001,G0004,2024-01-21,The Red Cross team was very helpful and respectful to our community,English,0.828,positive,AID_DISTRIBUTION,Aid distribution,0.798,True,False,2026-05-09 17:29:06
Q000024,R000059,S0001,G0002,2024-01-21,Some families were excluded without explanation,English,-0.378,negative,CULTURAL_SENSITIVITY,Cultural sensitivity,0.982,True,False,2026-05-09 17:29:06
Q000025,R000068,S0001,G0004,2024-01-21,The volunteers were trained and professional,English,0.538,positive,RESOURCE_ALLOCATION,Resource allocation,0.918,False,False,2026-05-09 17:29:06
Q000026,R000071,S0001,G0001,2024-01-21,The process was not transparent and we could not ask questions,English,-0.557,negative,TRANSPARENCY_OF_OPERATIONS,Transparency of operations,0.852,False,False,2026-05-09 17:29:06
