response_id,survey_id,submission_date,country_code,geo_id,region,collection_method,respondent_age_group,respondent_gender,respondent_displacement_status,language,ingested_at,source_system
R000001,S0001,2024-01-21,KE,G0003,Kisumu,Paper,65+,Prefer not to say,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000002,S0001,2024-01-21,KE,G0004,Nakuru,Paper,35-44,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000003,S0001,2024-01-21,KE,G0003,Kisumu,Phone interview,55-64,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000004,S0001,2024-01-21,KE,G0002,Mombasa,Phone interview,55-64,Female,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000005,S0001,2024-01-21,KE,G0001,Nairobi,Digital tablet,65+,Non-binary,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000006,S0001,2024-01-21,KE,G0001,Nairobi,Digital tablet,65+,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000007,S0001,2024-01-21,KE,G0003,Kisumu,Paper,18-24,Male,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000008,S0001,2024-01-21,KE,G0001,Nairobi,Phone interview,18-24,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000009,S0001,2024-01-21,KE,G0002,Mombasa,Digital tablet,55-64,Prefer not to say,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000010,S0001,2024-01-21,KE,G0002,Mombasa,Digital tablet,45-54,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000011,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,25-34,Male,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000012,S0001,2024-01-21,KE,G0002,Mombasa,KoboToolbox,18-24,Non-binary,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000013,S0001,2024-01-21,KE,G0003,Kisumu,Phone interview,25-34,Male,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000014,S0001,2024-01-21,KE,G0002,Mombasa,Phone interview,45-54,Male,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000015,S0001,2024-01-21,KE,G0001,Nairobi,Phone interview,65+,Non-binary,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000016,S0001,2024-01-21,KE,G0001,Nairobi,Phone interview,55-64,Female,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000017,S0001,2024-01-21,KE,G0001,Nairobi,KoboToolbox,25-34,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000018,S0001,2024-01-21,KE,G0002,Mombasa,Phone interview,18-24,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000019,S0001,2024-01-21,KE,G0002,Mombasa,Paper,35-44,Male,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000020,S0001,2024-01-21,KE,G0001,Nairobi,Digital tablet,18-24,Female,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000021,S0001,2024-01-21,KE,G0002,Mombasa,KoboToolbox,55-64,Female,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000022,S0001,2024-01-21,KE,G0001,Nairobi,Phone interview,65+,Non-binary,Refugee,English,2026-05-09 17:29:06,KoboToolbox
